1,0
1,0
2,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
1,0
3,0
1,0
1,0
0,0
3,3
1,0
6,0
3,3
0,0
1,0
1,0
1,0
2,0
0,0
3,3
1,0
1,0
7,0
3,0
0,0
3,3
1,0
7,0
1,0
3,3
7,0
2,0
1,0
1,0
3,0
0,0
1,0
2,0
1,0
1,0
1,0
8,3
0,0
3,0
7,0
2,0
1,0
9,3
2,0
1,0
1,0
1,0
1,0
1,0
7,0
0,0
4,0
7,0
2,0
4,0
0,0
4,0
15,3
5,0
1,0
1,0
1,0
1,0
1,0
2,0
5,0
0,0
17,3
1,0
1,0
9,0
2,0
1,0
1,0
1,0
4,0
6,0
0,0
17,3
1,0
1,0
10,0
3,0
1,0
1,0
1,0
4,0
11,0
1,0
6,0
0,0
19,3
1,0
1,0
10,0
3,0
1,0
1,0
1,0
6,0
14,0
1,0
7,1
0,0
19,3
1,1
1,0
11,5
3,0
1,0
2,0
1,0
6,0
14,0
1,0
1,0
7,2
0,0
6,0
22,3
32,0
1,0
2,3
1,0
3,1
2,0
3,0
12,4
1,0
1,0
7,2
0,0
6,0
23,3
32,0
1,0
1,0
2,3
1,0
3,1
3,0
4,0
12,4
1,0
1,0
8,2
1,0
11,0
24,3
36,0
1,0
1,0
2,3
1,0
3,1
3,0
6,0
14,5
1,0
1,0
9,2
3,0
11,0
25,3
39,0
1,0
1,0
1,0
2,3
1,0
4,1
3,0
8,0
15,5
1,0
1,0
2,0
1,0
11,3
3,0
14,0
25,3
44,0
1,0
1,0
2,0
5,3
2,1
4,1
1,0
4,0
8,0
18,9
1,0
1,0
3,0
1,0
16,5
5,0
3,0
15,1
26,3
49,0
2,0
1,0
2,0
15,3
3,1
8,1
1,0
4,0
10,0
22,9
3,0
2,0
3,0
1,0
25,5
7,0
3,0
2,0
15,1
33,3
4,0
60,0
2,0
1,0
13,0
15,3
3,1
10,1
1,0
4,0
13,0
23,9
3,0
3,0
5,0
2,0
1,0
28,5
18,0
7,0
2,0
26,2
45,3
4,0
64,0
2,0
1,0
21,0
22,3
5,1
11,1
5,0
4,0
13,0
26,9
3,0
4,0
7,0
2,0
1,0
28,5
29,0
12,0
2,0
33,2
60,3
6,0
71,0
2,0
1,0
21,0
26,3
7,1
22,1
6,0
4,0
13,0
30,9
3,0
7,0
8,0
3,0
1,0
29,6
32,0
14,11
3,0
37,3
87,4
7,0
86,0
1,0
2,0
1,0
29,0
30,3
13,1
25,1
7,0
4,0
13,0
32,11
3,0
9,0
9,1
4,0
1,0
30,6
37,0
14,11
3,0
41,3
101,4
14,0
125,1
1,0
1,0
2,0
1,0
29,0
34,3
16,1
25,1
7,0
7,1
13,0
36,11
3,0
9,0
1,0
11,1
6,0
7,0
6,0
35,6
3,0
42,0
16,11
3,0
13,1
55,3
110,6
13,0
20,0
121,1
1,0
1,0
2,0
1,0
33,0
39,3
20,1
34,1
4,0
40,11
10,0
1,0
12,1
6,0
7,0
6,0
35,6
3,0
42,0
16,11
3,0
13,1
55,3
129,11
13,3
20,0
127,15
1,0
1,0
2,0
1,0
33,0
39,3
23,1
35,1
4,0
40,11
10,0
14,1
6,0
9,0
8,0
6,0
38,6
3,0
44,0
19,12
3,0
20,1
55,3
168,11
13,3
30,0
177,25
1,0
1,0
3,0
1,0
38,1
52,3
34,2
46,1
4,0
54,11
15,0
